Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Profit
2024-01-31,3.4121643544322064,2.6609844988312705,3.4381987418284226,3.4121643508035664,3.4121643574601968,-0.3680469619515656,-0.3680469619515656,-0.3680469619515656,-0.3680469619515656,-0.3680469619515656,-0.3680469619515656,0.0,0.0,0.0,3.044117392480641
2024-02-29,3.426793678037693,3.0870025504144407,3.847574508478695,3.426793670165896,3.426793685071469,0.029784651058300526,0.029784651058300526,0.029784651058300526,0.029784651058300526,0.029784651058300526,0.029784651058300526,0.0,0.0,0.0,3.4565783290959935
2024-03-31,3.442431920512524,2.0747572709400335,2.817357924793571,3.4424319074442766,3.44243193294908,-1.0009275230906596,-1.0009275230906596,-1.0009275230906596,-1.0009275230906596,-1.0009275230906596,-1.0009275230906596,0.0,0.0,0.0,2.4415043974218644
2024-04-30,3.4575657035526826,3.857845929378151,4.647037288965835,3.4575656840740243,3.457565721580975,0.7923033975720021,0.7923033975720021,0.7923033975720021,0.7923033975720021,0.7923033975720021,0.7923033975720021,0.0,0.0,0.0,4.249869101124685
2024-05-31,3.473203946027513,3.0428668773024583,3.8463929922228983,3.4732039199890505,3.4732039718623193,-0.0414786121739827,-0.0414786121739827,-0.0414786121739827,-0.0414786121739827,-0.0414786121739827,-0.0414786121739827,0.0,0.0,0.0,3.4317253338535303
2024-06-30,3.488337729067672,3.3252528454318306,4.13426360527423,3.488337694733107,3.4883377617414775,0.23768213118350182,0.23768213118350182,0.23768213118350182,0.23768213118350182,0.23768213118350182,0.23768213118350182,0.0,0.0,0.0,3.726019860251174
2024-07-31,3.503975971542502,3.0006342053308237,3.7977269716965103,3.503975927910105,3.503976013509764,-0.08492956619401114,-0.08492956619401114,-0.08492956619401114,-0.08492956619401114,-0.08492956619401114,-0.08492956619401114,0.0,0.0,0.0,3.419046405348491
2024-08-31,3.519614214017333,2.983235560064566,3.7901542186096906,3.5196141601780786,3.519614265795817,-0.16692373355104909,-0.16692373355104909,-0.16692373355104909,-0.16692373355104909,-0.16692373355104909,-0.16692373355104909,0.0,0.0,0.0,3.352690480466284
2024-09-30,3.5347479970574915,4.304133998953675,5.110101379489736,3.534747933663926,3.534748058355975,1.1574518362255433,1.1574518362255433,1.1574518362255433,1.1574518362255433,1.1574518362255433,1.1574518362255433,0.0,0.0,0.0,4.692199833283035
2024-10-31,3.5503862395323216,3.791045665068078,4.591669898758846,3.5503861656714317,3.550386309907306,0.6430274685211125,0.6430274685211125,0.6430274685211125,0.6430274685211125,0.6430274685211125,0.6430274685211125,0.0,0.0,0.0,4.193413708053434
2024-11-30,3.5655200225724806,3.9877311100168384,4.78503230780464,3.565519938774248,3.5655201021888905,0.8341477343243516,0.8341477343243516,0.8341477343243516,0.8341477343243516,0.8341477343243516,0.8341477343243516,0.0,0.0,0.0,4.399667756896832
2024-12-31,3.3965261119573764,2.207069772506694,2.987139774942732,3.396526111275494,3.3965261126056423,-0.8120681444554225,-0.8120681444554225,-0.8120681444554225,-0.8120681444554225,-0.8120681444554225,-0.8120681444554225,0.0,0.0,0.0,3.99999